event_number,start_time,end_time,duration_hours,max_customers_out,total_customers_out,num_outages,num_restores,customer_hours,counties_affected,max_sknt,min_sknt,avg_sknt,max_gust,min_gust,avg_gust,max_tmpf,min_tmpf,avg_tmpf,total_p01i,max_p01i,avg_p01i
235,2015-02-05 17:00:00,2015-02-05 18:15:00,1.25,6853,6934,3,2,8302.0,Los Angeles,8.0,0.0,2.1041667,0.0,0.0,0.0,75.2,47.0,61.024998,0.0,0.0,0.0
237,2015-02-06 06:00:00,2015-02-06 06:30:00,0.5,4223,4223,2,1,2090.25,Los Angeles,12.0,0.0,2.0208333,0.0,0.0,0.0,80.6,54.0,61.112503,0.0,0.0,0.0
239,2015-02-06 07:00:00,2015-02-06 07:15:00,0.25,3809,3809,1,1,952.25,Los Angeles,11.0,0.0,2.4375,0.0,0.0,0.0,68.0,46.4,58.1375,0.0,0.0,0.0
241,2015-02-06 07:30:00,2015-02-06 08:15:00,0.75,3811,3811,2,2,2857.25,Los Angeles,10.0,0.0,3.4375,0.0,0.0,0.0,66.2,46.4,57.3875,0.0,0.0,0.0
243,2015-02-06 12:30:00,2015-02-06 14:00:00,1.5,4335,4335,1,1,6502.5,Los Angeles,12.0,0.0,3.4910715,19.0,0.0,0.5089286,63.0,40.0,53.153572,0.0,0.0,0.0
245,2015-02-06 19:15:00,2015-02-06 20:15:00,1.0,3817,3820,3,2,3812.25,Los Angeles,21.0,0.0,5.9875,35.0,0.0,2.1375,74.0,61.0,68.055,0.0,0.0,0.0
247,2015-02-06 21:15:00,2015-02-07 00:45:00,3.5,4568,4571,4,6,15978.25,Los Angeles,22.0,0.0,8.620833,30.0,0.0,1.0458333,77.0,58.0,68.78333,0.0,0.0,0.0
249,2015-02-08 06:00:00,2015-02-08 06:30:00,0.5,4169,4169,1,1,2084.5,Los Angeles,8.0,0.0,2.7291667,0.0,0.0,0.0,65.0,50.0,60.00833,0.0,0.0,0.0
251,2015-02-08 08:45:00,2015-02-08 11:30:00,2.75,3971,3971,1,1,10920.25,Los Angeles,12.0,0.0,3.1927083,0.0,0.0,0.0,64.0,45.0,57.880207,0.06,0.01,0.0003125
253,2015-02-08 17:15:00,2015-02-08 18:30:00,1.25,4869,4920,3,2,5930.75,Los Angeles,10.0,0.0,4.9479165,0.0,0.0,0.0,69.8,52.0,63.091663,0.0,0.0,0.0
255,2015-02-09 20:15:00,2015-02-09 23:15:00,3.0,6174,7480,5,8,14882.5,Los Angeles,24.0,0.0,10.182693,23.0,0.0,2.0673077,76.0,55.0,68.66539,0.0,0.0,0.0
257,2015-02-09 23:45:00,2015-02-10 06:15:00,6.5,5048,6551,11,13,30762.75,Los Angeles,27.0,0.0,7.9074073,32.0,0.0,3.1111112,74.0,47.0,62.323612,0.0,0.0,0.0
259,2015-02-10 06:45:00,2015-02-10 07:15:00,0.5,5211,5211,2,1,2605.25,Los Angeles,15.0,0.0,4.8125,25.0,0.0,2.9791667,73.4,46.0,58.725002,0.0,0.0,0.0
261,2015-02-10 20:15:00,2015-02-10 20:45:00,0.5,3988,3988,2,1,1991.5,Los Angeles,13.0,0.0,6.2083335,26.0,0.0,2.375,79.0,58.0,70.424995,0.0,0.0,0.0
263,2015-02-11 06:45:00,2015-02-11 07:00:00,0.25,6160,6160,1,1,1540.0,Los Angeles,18.0,0.0,4.4375,0.0,0.0,0.0,71.6,38.0,60.4,0.0,0.0,0.0
265,2015-02-11 16:45:00,2015-02-11 19:00:00,2.25,4932,4961,8,2,10232.5,Los Angeles,24.0,0.0,5.19375,30.0,0.0,2.5,85.0,48.0,70.4375,0.0,0.0,0.0
267,2015-02-11 22:45:00,2015-02-11 23:00:00,0.25,5207,5207,1,1,1301.75,Los Angeles,22.0,0.0,9.0625,30.0,0.0,3.375,86.0,63.0,78.99375,0.0,0.0,0.0
269,2015-02-11 23:30:00,2015-02-11 23:45:00,0.25,3995,3995,1,1,998.75,Los Angeles,21.0,0.0,9.4375,29.0,0.0,3.3125,88.0,62.0,78.76875,0.0,0.0,0.0
271,2015-02-12 21:30:00,2015-02-12 21:45:00,0.25,3912,3912,1,1,978.0,Los Angeles,16.0,0.0,7.28125,26.0,0.0,4.9375,87.0,65.0,79.81875,0.0,0.0,0.0
273,2015-02-15 10:00:00,2015-02-15 10:15:00,0.25,5665,5665,1,1,1416.25,Los Angeles,13.0,0.0,2.25,0.0,0.0,0.0,66.0,42.0,56.449997,0.0,0.0,0.0
275,2015-02-15 17:15:00,2015-02-15 17:45:00,0.5,4445,4445,1,2,2215.25,Los Angeles,7.0,0.0,2.0416667,0.0,0.0,0.0,73.0,52.0,65.395836,0.0,0.0,0.0
277,2015-02-16 12:30:00,2015-02-16 13:15:00,0.75,6304,6304,1,2,4685.75,Los Angeles,9.0,0.0,2.8125,0.0,0.0,0.0,63.0,35.0,54.009377,0.0,0.0,0.0
279,2015-02-16 18:45:00,2015-02-16 20:30:00,1.75,6965,7016,4,4,11577.75,Los Angeles,20.0,0.0,6.2109375,24.0,0.0,0.890625,80.0,57.0,68.07343,0.0,0.0,0.0
281,2015-02-17 17:45:00,2015-02-18 01:45:00,8.0,7971,9460,10,21,52939.25,Los Angeles,18.0,0.0,5.1761365,21.0,0.0,0.28787878,74.0,53.0,65.27573,0.0004,1e-04,7.575757e-07
283,2015-02-18 05:45:00,2015-02-18 20:30:00,14.75,8249,12944,26,21,93478.75,Los Angeles,12.0,0.0,2.7041667,0.0,0.0,0.0,76.0,36.0,57.210167,0.0,0.0,0.0
285,2015-02-18 21:45:00,2015-02-18 22:00:00,0.25,4475,4475,1,1,1118.75,Los Angeles,12.0,0.0,6.0625,0.0,0.0,0.0,78.0,61.0,69.6,0.0,0.0,0.0
287,2015-02-20 12:00:00,2015-02-20 12:45:00,0.75,5390,5390,1,2,4021.0,Los Angeles,10.0,0.0,2.0,0.0,0.0,0.0,60.8,46.0,55.04375,0.0,0.0,0.0
289,2015-02-20 17:00:00,2015-02-21 00:45:00,7.75,9284,12588,16,16,48683.25,Los Angeles,15.0,0.0,4.3535156,16.0,0.0,0.3125,75.0,53.6,64.78164,0.0,0.0,0.0
291,2015-02-21 01:00:00,2015-02-21 03:15:00,2.25,7237,7739,5,5,11624.25,Los Angeles,11.0,0.0,5.85625,16.0,0.0,1.0,73.0,51.0,61.373756,0.0,0.0,0.0
293,2015-02-21 04:00:00,2015-02-21 04:15:00,0.25,4299,4299,1,1,1074.75,Los Angeles,10.0,0.0,4.25,16.0,0.0,1.0,63.0,51.0,58.75,0.0,0.0,0.0
295,2015-02-21 06:30:00,2015-02-21 08:00:00,1.5,4395,4398,2,5,6184.25,Los Angeles,11.0,0.0,3.4642856,16.0,0.0,1.0,63.0,50.0,57.791073,0.0,0.0,0.0
297,2015-02-21 09:15:00,2015-02-21 09:30:00,0.25,4826,4826,1,1,1206.5,Los Angeles,14.0,0.0,3.96875,16.0,0.0,1.0,63.0,51.0,57.78125,0.0,0.0,0.0
299,2015-02-23 17:00:00,2015-02-23 22:30:00,5.5,7369,7442,12,10,30951.75,Los Angeles,17.0,0.0,6.488261,21.0,0.0,1.111413,65.0,39.0,57.086414,0.1302,0.03,0.00035380435
301,2015-02-24 16:45:00,2015-02-24 23:00:00,6.25,11207,13643,8,17,36664.0,Los Angeles,21.0,0.0,8.817307,26.0,0.0,6.355769,75.0,42.0,62.91394,0.0,0.0,0.0
303,2015-02-25 17:00:00,2015-02-26 00:00:00,7.0,6737,7224,13,12,40611.0,Los Angeles,22.0,0.0,4.2952585,19.0,0.0,0.43965518,73.4,44.0,64.68362,0.0,0.0,0.0
305,2015-02-26 09:45:00,2015-02-26 16:45:00,7.0,6309,6621,11,9,41561.5,Los Angeles,27.0,0.0,2.487069,27.0,0.0,0.4224138,62.6,37.0,51.3,0.0,0.0,0.0
307,2015-02-27 22:00:00,2015-02-27 23:00:00,1.0,4236,4237,3,2,4197.5,Los Angeles,26.0,4.0,9.3,32.0,0.0,4.4625,68.0,48.0,60.8675,0.0,0.0,0.0
